date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:45	75266/75266	---M--	200	added ('OK')	application/javascript	etag:%2212602-4df5f78f434c0%22	http://www.residencialluizaqueiroz.com.br/mobile/SpryAssets/SpryValidationTextField.js	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/SpryAssets/SpryValidationTextField.js	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:12:45	5114/5114	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202017%2013:12:46%20GMT	http://www.residencialluizaqueiroz.com.br/mobile/contato.php	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/contato.html	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:12:47	13303/13303	---M--	200	added ('OK')	image/jpeg	etag:%2233f7-4df5f7bef2540%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft03.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft03.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:12:49	93437/93437	---M--	200	added ('OK')	application/javascript	etag:%2216cfd-4df5f7785fec0%22	http://www.residencialluizaqueiroz.com.br/mobile/js/jquery-1.7.2.min.js	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/js/jquery-1.7.2.min.js	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:12:49	10949/10949	---M--	200	added ('OK')	image/jpeg	etag:%222ac5-4df5f7bfe6780%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft04.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft04.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:12:51	8565/8565	---M--	200	added ('OK')	image/jpeg	etag:%222175-4df5f7c0da9c0%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft05.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft05.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:03	86576/86576	---M--	200	added ('OK')	image/jpeg	etag:%2215230-4df5f7ba2da00%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto05.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto05.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:03	104213/104213	---M--	200	added ('OK')	image/jpeg	etag:%2219715-4df5f7b9397c0%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto04.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto04.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:05	87263/87263	---M--	200	added ('OK')	image/jpeg	etag:%22154df-4df5f7c0da9c0%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto08.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto08.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:05	10232/10232	---M--	200	added ('OK')	image/jpeg	etag:%2227f8-4df5f7c2c2e40%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft08.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft08.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
